year,zillow_index,case_shiller_index,Z_YOY_change,CS_YOY_change,USSTHPI,YOY_change,Unemployment_Year_Avg,recession,avg_rate_for_year
1987,,68.342,,,147.29,5.4481672394043335,6.2,0.0,6.6575
1988,,73.278,,7.222498609932404,155.58,5.628352230293987,5.5,0.0,7.568333333333332
1989,,76.497,,4.3928600671415685,164.31,5.611261087543373,5.4,1.0,9.216666666666669
1990,,75.972,,-0.6863014235852449,166.3,1.2111253119104104,5.9,1.0,8.099166666666667
1991,,75.843,,-0.16979939977885827,171.49,3.120865904990988,6.9,0.0,5.6875
1992,,76.463,,0.8174782115686119,175.62,2.408303691177327,7.4,0.0,3.5216666666666665
1993,,78.112,,2.1565986163242457,180.28,2.653456326158743,6.9,0.0,3.0224999999999995
1994,,80.077,,2.5156185989348767,183.1,1.5642334146882542,6.1,0.0,4.201666666666667
1995,,81.513,,1.7932739738002246,191.43,4.549426542872759,5.6,0.0,5.836666666666666
1996,,83.489,,2.424153202556645,196.27,2.5283393407511845,5.5,0.0,5.298333333333333
1997,,86.847,,4.022086741966002,204.88,4.386814082641255,5.0,0.0,5.46
1998,,92.442,,6.442364157656577,215.25,5.061499414291304,4.5,0.0,5.353333333333333
1999,,99.542,,7.680491551459312,225.85,4.924506387921013,4.2,0.0,4.97
2000,117576.3907,108.791,,9.291555323381084,241.84,7.079920301084797,4.0,0.0,6.235833333333333
2001,126000.1794,116.056,7.164523974454662,6.6779421091818225,259.05,7.116275223288127,5.0,0.0,3.8875
2002,135041.228,127.151,7.175425180386696,9.560039980698964,276.42,6.705269253039958,5.9,0.0,1.6666666666666667
2003,145770.5011,139.628,7.945183303575987,9.812742329985591,295.71,6.978510961580198,5.8,0.0,1.1275
2004,161549.9132,158.67,10.824832171754139,13.637665797691012,326.26,10.331067600013522,5.6,0.0,1.3491666666666668
2005,180559.7907,180.107,11.767185214433162,13.510430453141753,362.93,11.239502237479314,5.1,0.0,3.2133333333333334
2006,189688.8617,183.23,5.055982267484982,1.7339692516115335,379.36,4.527043782547602,4.6,0.0,4.964166666666666
2007,185533.7198,173.338,-2.1905038929336484,-5.398679255580419,375.07,-1.1308519611978096,4.8,1.0,5.019166666666666
2008,168227.8496,152.545,-9.327614526704487,-11.995638578961342,348.25,-7.150665209160955,6.2,1.0,1.9275
2009,156506.6638,146.664,-6.967446726490156,-3.8552558261496617,330.19,-5.185929648241205,8.9,0.0,0.16
2010,151559.9928,140.632,-3.1606775583187696,-4.112802050946374,324.11,-1.8413640631151695,9.6,0.0,0.175
2011,144126.5765,135.169,-4.904603228511117,-3.884606632914267,313.32,-3.32911665792478,8.8,0.0,0.1016666666666666
2012,149115.5613,143.868,3.461530080817532,6.435647226804941,315.19,0.5968339078258555,8.1,0.0,0.14
2013,161836.3813,159.28,8.530846740004193,10.712597658965173,328.85,4.333893841809711,7.4,0.0,0.1075
2014,171019.91,166.462,5.674576152920929,4.509040683073828,345.67,5.114793979017795,6.1,0.0,0.0891666666666666
2015,182816.8586,175.119,6.897997198104022,5.200586320000977,363.12,5.048167327219599,5.4,0.0,0.1325
2016,193706.7216,184.407,5.956706117473987,5.303821972487288,382.94,5.458250716016733,4.8,0.0,0.395
2017,207144.3732,195.852,6.937111675323515,6.206380451935112,403.79,5.444717188071246,4.4,0.0,1.0016666666666667
2018,220292.8822,204.709,6.347509612199298,4.52229234319792,423.58,4.901062433443126,4.0,0.0,1.8316666666666668
2019,231752.2874,212.251,5.201895352023311,3.68425423405907,444.9,5.033287690636956,3.8,0.0,2.158333333333333
2020,254729.7956,234.405,9.914684535709139,10.437642225478317,472.64,6.235109013261408,5.1,0.0,0.3758333333333333
2021,297029.6499,,16.605774051820422,0.0,,,5.1,0.0,0.08
1975,,,,,62.24,,,0.0,5.824166666666667
1976,,,,,67.24,8.033419023136235,,0.0,5.045
1977,,,,,77.19,14.797739440809043,,0.0,5.5375000000000005
1978,,,,,87.48,13.330742324135269,,0.0,7.930833333333333
1979,,,,,98.24,12.299954275262914,,1.0,11.194166666666666
1980,,,,,104.59,6.463762214983726,,0.0,13.355833333333331
1981,,,,,107.47,2.7536093316760546,,1.0,16.378333333333334
1982,,,,,111.69,3.9266772122452664,,0.0,12.258333333333333
1983,,,,,117.65,5.336198406303172,,0.0,9.086666666666668
1984,,,,,123.16,4.6833829154271145,7.7,0.0,10.225
1985,,,,,130.18,5.699902565768111,7.2,0.0,8.100833333333334
1986,,,,,139.68,7.29758795513904,6.7,0.0,6.805
2022,,,,,,,3.8,,1.6833333333333331
2023,,,,,,,3.4,,4.516666666666667
2067,,,,,,,,0.0,
2068,,,,,,,,0.0,
2069,,,,,,,,1.0,
2070,,,,,,,,1.0,
2071,,,,,,,,0.0,
2072,,,,,,,,0.0,
1973,,,,,,,,1.0,8.727500000000001
1974,,,,,,,,1.0,10.5025
1954,,,,,,,,,1.0083333333333333
1955,,,,,,,,,1.785
1956,,,,,,,,,2.728333333333333
1957,,,,,,,,,3.105
1958,,,,,,,,,1.5725
1959,,,,,,,,,3.305
1960,,,,,,,,,3.2158333333333338
1961,,,,,,,,,1.955
1962,,,,,,,,,2.708333333333333
1963,,,,,,,,,3.178333333333333
1964,,,,,,,,,3.4966666666666666
1965,,,,,,,,,4.075
1966,,,,,,,,,5.111666666666667
1967,,,,,,,,,4.22
1968,,,,,,,,,5.659166666666667
1969,,,,,,,,,8.204166666666667
1970,,,,,,,,,7.183333333333334
1971,,,,,,,,,4.6625000000000005
1972,,,,,,,,,4.434166666666667
